Strain,Project,Site,Species,Host family (plant) or order or class (lichen),Plant or Lichen host,Site-Host
SNP104,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP105,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP106,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP107,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP108,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP115,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP118,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP120,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP128,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP129,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP130,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP133,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP134,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP137,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP139,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP140,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP143,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP147,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP149,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP155,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP161,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
SNP167,Arizona,Tucson Mountains (Saguaro),Larrea tridentata,Zygophyllaceae,Plant-angiosperm,Tucson Mountains (Saguaro)_Plant-angiosperm
